"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","class"
0.106667,0.233766,0.338028,0.287671,0.277778,0.283784,0.202703,0.226667,0.197802,0.261905,0.425287,0.62069,0.566667,0.5625,0.588889,0.52809,0.482353,0.417722,0.466667,0.408451,0.367816,0.344086,0.363636,0.313253,0.534091,0.45,0.22082,0.263666,0.27707,0.286174,0.297125,0.289308,0.263323,0.24924,0.273273,0.337143,0.417553,0.451031,0.448878,0.445545,0.438903,0.434343,0.437037,0.441975,0.447368,0.444444,0.44186,0.451039,0.476471,0.498462,0.43609,0.366366,0.436709,0.10101,0.570929,0.453055,0.896907,0.291188,0.292929,0.506106,0.483543,0.786364,0.402597,0.141414,0.446753,0.433079,0.649485,0.451646,0.404332,0.946667,0.290909,0,0
0.373333,0.415584,0.464789,0.369863,0.458333,0.432432,0.391892,0.373333,0.32967,0.392857,0.482759,0.505747,0.5,0.447917,0.6,0.573034,0.423529,0.35443,0.346667,0.422535,0.252874,0.247312,0.324675,0.337349,0.534091,0.5,0.533123,0.559486,0.579618,0.59164,0.610224,0.622642,0.60815,0.577508,0.555556,0.542857,0.547872,0.53866,0.521197,0.517327,0.521197,0.515152,0.498765,0.48642,0.481579,0.475,0.473837,0.486647,0.511765,0.535385,0.518797,0.525526,0.509494,0.242424,0.447422,0.686289,0.83677,0.295019,0.959596,0.531,0.629419,0.766667,0.445887,0.474747,0.406948,0.528807,0.670103,0.716456,0.564621,0.8,0.290909,0,0
0.386667,0.363636,0.366197,0.287671,0.305556,0.337838,0.337838,0.36,0.230769,0.285714,0.356322,0.448276,0.488889,0.479167,0.611111,0.606742,0.588235,0.531646,0.466667,0.380282,0.333333,0.419355,0.532468,0.554217,0.545455,0.516667,0.580442,0.604502,0.61465,0.630225,0.638978,0.641509,0.630094,0.598784,0.570571,0.537143,0.539894,0.556701,0.53616,0.522277,0.513716,0.517677,0.511111,0.503704,0.494737,0.497222,0.517442,0.548961,0.579412,0.603077,0.513784,0.552553,0.509494,0.555556,0.48529,0.702186,0.747423,0.413793,0.535354,0.426726,0.570906,0.730303,0.385281,0.59596,0.381634,0.634462,0.639175,0.755443,0.742238,0.693333,0.345455,0,0
0.626667,0.493506,0.521127,0.520548,0.402778,0.418919,0.378378,0.333333,0.252747,0.357143,0.37931,0.344828,0.255556,0.21875,0.233333,0.426966,0.305882,0.278481,0.253333,0.450704,0.471264,0.419355,0.584416,0.518072,0.443182,0.466667,0.634069,0.652733,0.665605,0.681672,0.696486,0.698113,0.680251,0.653495,0.615616,0.571429,0.537234,0.497423,0.473815,0.457921,0.451372,0.441919,0.451852,0.479012,0.494737,0.511111,0.526163,0.557864,0.594118,0.618462,0.448622,0.552553,0.537975,0.888889,0.449461,0.662692,0.671821,0.494253,0.767677,0.435416,0.645876,0.686364,0.34632,0.484848,0.412884,0.64758,0.608247,0.88962,0.892419,0.586667,0.345455,0.100726,0
0.346667,0.272727,0.225352,0.191781,0.125,0.202703,0.162162,0.186667,0.131868,0.154762,0.252874,0.218391,0.333333,0.3125,0.333333,0.348315,0.294118,0.35443,0.32,0.394366,0.287356,0.268817,0.480519,0.409639,0.329545,0.316667,0.649842,0.665595,0.671975,0.684887,0.696486,0.707547,0.702194,0.674772,0.651652,0.62,0.593085,0.572165,0.586035,0.59901,0.605985,0.613636,0.617284,0.612346,0.607895,0.597222,0.575581,0.587537,0.602941,0.624615,0.609023,0.624625,0.654441,0.572957,0.521662,0.491006,0.620308,0.606745,0.400306,0.465643,0.501346,0.686252,0.61869,0.297646,0.432739,0.475481,0.69876,0.680616,0.685753,0.504482,0.490435,0.028087,0
0.413333,0.454545,0.464789,0.342466,0.222222,0.22973,0.216216,0.213333,0.241758,0.202381,0.287356,0.436782,0.377778,0.28125,0.366667,0.280899,0.235294,0.531646,0.573333,0.450704,0.712644,0.731183,0.662338,0.481928,0.681818,0.466667,0.652997,0.694534,0.707006,0.717042,0.72524,0.726415,0.708464,0.668693,0.630631,0.591429,0.553191,0.487113,0.456359,0.445545,0.441397,0.444444,0.459259,0.479012,0.468421,0.466667,0.447674,0.465875,0.508824,0.523077,0.448622,0.546547,0.68038,0.676768,0.503641,0.663686,0.510309,0.544061,0.606061,0.549789,0.700731,0.581818,0.562771,0.080808,0.469623,0.660698,0.597938,0.857215,0.813718,0.386667,0.490435,0.282809,0
0.493333,0.415584,0.535211,0.69863,0.833333,0.945946,0.851351,0.853333,0.681319,0.630952,0.701149,0.724138,0.677778,0.604167,0.677778,0.696629,0.623529,0.582278,0.733333,0.859155,0.574713,0.333333,0.285714,0.192771,0.704545,0.8,0.548896,0.569132,0.576433,0.598071,0.571885,0.490566,0.426332,0.358663,0.3003,0.274286,0.265957,0.234536,0.209476,0.190594,0.169576,0.164141,0.177778,0.204938,0.2,0.2,0.206395,0.219585,0.235294,0.212308,0.353383,0.282282,0.623418,0.979798,0.473347,0.634873,0.213058,0.555556,0.525253,0.651245,0.792767,0.328788,0.562771,0.838384,0.380237,0.914554,0.443299,0.845063,0.845487,0.173333,0.2,0.008717,0
0.293333,0.376623,0.478873,0.575342,0.652778,0.635135,0.716216,0.653333,0.56044,0.702381,0.678161,0.689655,0.755556,0.65625,0.688889,0.719101,0.647059,0.43038,0.2,0.098592,0,0,0.103896,0.060241,0.681818,0.583333,0.230284,0.254019,0.273885,0.282958,0.290735,0.305031,0.297806,0.285714,0.264264,0.257143,0.273936,0.278351,0.281796,0.294554,0.309227,0.328283,0.353086,0.365432,0.326316,0.277778,0.25,0.219585,0.214706,0.224615,0.330827,0.261261,0.330696,0.727273,0.929508,0.562096,0.108247,0.285441,0.070707,0.767027,0.64425,0.042424,0.203463,0.191919,0.59602,0.783549,0.072165,0.471899,0.752347,0.24,0.581818,0,0
0.133333,0.194805,0.169014,0.164384,0.097222,0.067568,0.162162,0.186667,0.153846,0.238095,0.298851,0.356322,0.344444,0.40625,0.444444,0.404494,0.376471,0.35443,0.386667,0.352113,0.218391,0.215054,0.168831,0.144578,0.375,0.283333,0.217666,0.231511,0.232484,0.228296,0.223642,0.216981,0.213166,0.197568,0.198198,0.237143,0.319149,0.360825,0.379052,0.378713,0.379052,0.386364,0.390123,0.380247,0.352632,0.352778,0.348837,0.362018,0.388235,0.396923,0.383459,0.291291,0.348101,0.373737,0.839208,0.344511,0.283505,0.304598,0.20202,0.695632,0.363673,0.224242,0.25974,0.505051,0.432739,0.475481,0.216495,0.539747,0.620939,0.386667,0.690909,0,0
0.12,0.077922,0.070423,0.068493,0.083333,0.054054,0.054054,0.08,0.131868,0.166667,0.321839,0.367816,0.344444,0.28125,0.311111,0.370787,0.294118,0.240506,0.266667,0.253521,0.206897,0.193548,0.207792,0.192771,0.284091,0.216667,0.429022,0.437299,0.449045,0.446945,0.456869,0.465409,0.435737,0.431611,0.465465,0.522857,0.569149,0.556701,0.526185,0.522277,0.518703,0.520202,0.501235,0.493827,0.494737,0.5,0.508721,0.510386,0.529412,0.532308,0.516291,0.486486,0.449367,0.222222,0.613458,0.469449,0.537801,0.264368,0.151515,0.575622,0.482934,0.468182,0.320346,0.070707,0.583624,0.445134,0.412371,0.494177,0.586282,0.546667,0.709091,0,0
