"zone=1","zone=2","zone=3","zone=4","area","population","language=1","language=2","language=3","language=4","language=5","language=6","language=7","language=8","language=9","language=10","bars","stripes","colours","red=0","green=0","blue=0","gold=0","white=0","black=0","orange=0","mainhue=black","mainhue=brown","mainhue=orange","mainhue=white","mainhue=blue","mainhue=gold","mainhue=red","mainhue=green","circles","crosses","saltires","quarters","sunstars","crescent=0","triangle=0","icon=0","animate=0","text=0","topleft=black","topleft=brown","topleft=orange","topleft=white","topleft=blue","topleft=gold","topleft=red","topleft=green","botright=black","botright=brown","botright=orange","botright=white","botright=blue","botright=gold","botright=red","botright=green","landmass=1","landmass=2","landmass=3","landmass=4","landmass=5","landmass=6","class"
1,0,0,0,0.028926,0.015873,0,0,0,0,0,0,0,0,0,1,0,0.214286,0.571429,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.02,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"2"
1,0,0,0,0.001295,0.002976,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"6"
1,0,0,0,0.106598,0.019841,0,0,0,0,0,0,0,1,0,0,0.4,0,0.285714,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.02,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"2"
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.571429,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"1"
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0,0.285714,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0"
0,1,0,0,0.055665,0.006944,0,0,0,0,0,0,0,0,0,1,0,0.142857,0.285714,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"5"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.071429,0.285714,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"1"
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.071429,0.571429,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.02,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"1"
0,0,1,0,0.123962,0.027778,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.142857,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"0"
0,0,1,0,0.123962,0.027778,0,1,0,0,0,0,0,0,0,0,0,0.214286,0.285714,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"0"
0,1,0,0,0.343273,0.014881,1,0,0,0,0,0,0,0,0,0,0,0,0.285714,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.5,1,0.25,0.12,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"1"
