"att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12","att13","att14","att15","att16","att17","att18","att19","class"
0.54941,0.475,9,0,0,0.00951,6e-05,0.01491,0.00022,0.04312,0.05348,0.05081,0.02494,0.89179,0.17882,0.44402,0.05155,0.54563,0.32272,2
0.73913,0.50833,9,0,0,0.01141,0.00027,0.01118,6e-05,0.04648,0.06078,0.05155,0.02728,0.91791,0.16706,0.43643,0.05596,0.53858,0.3558,2
0.41107,0.53333,9,0,0,0.00951,0.00011,0.01863,0.00038,0.0426,0.05511,0.04786,0.02494,0.90672,0.16706,0.44782,0.05007,0.53263,0.34889,2
0.13043,0.525,9,0,0,0.01711,0.00017,0.02484,0.00034,0.0408,0.05673,0.04271,0.02338,0.93097,0.15059,0.44972,0.05155,0.57363,0.38611,2
0.1502,0.41667,9,0,0,0.02471,0.00038,0.01988,0.00031,0.04209,0.05105,0.05081,0.02416,0.88246,0.18353,0.44592,0.05228,0.56292,0.31367,2
0.05929,0.4875,9,0,0,0.01711,8e-05,0.01491,0.00022,0.03873,0.05024,0.04418,0.02182,0.90112,0.16706,0.45351,0.04713,0.56151,0.34556,2
0.09881,0.23333,9,0.33333,0,0.03422,9e-04,0.05466,0.0023,0.13943,0.14263,0.17158,0.1021,0.81157,0.31882,0.29981,0.17158,0.43694,0.23855,2
0.05138,0.4125,9,0,0,0.05894,0.0054,0.05963,0.00074,0.12497,0.13776,0.14212,0.09431,0.88246,0.24353,0.34915,0.14212,0.36885,0.28524,2
0.03953,0.40417,9,0,0,0.04563,0.00081,0.03106,0.00069,0.12316,0.13857,0.13991,0.09041,0.90112,0.24118,0.33397,0.13991,0.38876,0.29245,2
0.33202,0.375,9,0,0,0.04563,0.0013,0.02857,0.00088,0.14846,0.15478,0.17747,0.11146,0.83022,0.30588,0.30171,0.17747,0.40479,0.2494,2
0.06719,0.55833,9,0,0,0.01331,2e-05,0.01366,0.00027,0.02737,0.04052,0.02651,0.01559,0.91604,0.13412,0.49146,0.03682,0.60053,0.41521,2
0.08696,0.18333,9,0,0,0.07605,0.0037,0.03975,0.00057,0.16344,0.15802,0.20619,0.12315,0.7444,0.37529,0.27704,0.20619,0.43507,0.21371,2
0.77075,0.49167,9,0,0,0.02852,0.00044,0.01491,0.00013,0.04415,0.05754,0.0486,0.0265,0.91231,0.16353,0.44782,0.05449,0.54012,0.35446,2
0.31225,0.4375,9,0,0,0.05133,0.00165,0.03478,0.00063,0.1513,0.15478,0.18262,0.11458,0.8097,0.31765,0.30361,0.18262,0.40736,0.23703,2
0.00395,0.1375,9,0,0,0.07414,0.00241,0.05342,0.0011,0.13065,0.12642,0.16716,0.09587,0.76306,0.33765,0.31879,0.16716,0.45768,0.21664,2
0.47036,0.52083,9,0,0,0.02091,0.00042,0.02236,0.00032,0.04364,0.05673,0.04786,0.0265,0.91045,0.16235,0.45161,0.05302,0.52954,0.35583,2
0.57312,0.47083,9,0,0,0.01711,0.00017,0.0087,8e-05,0.04209,0.05429,0.0486,0.02338,0.90485,0.17294,0.44023,0.05081,0.56349,0.33902,2
0.08696,0.30833,9,0,0,0.04943,0.00106,0.03975,0.00069,0.12523,0.13776,0.14507,0.09197,0.8806,0.25647,0.33017,0.14507,0.39975,0.27823,2
0.5415,0.4375,9,0,0,0.02091,0.00015,0.00994,0.00015,0.04518,0.05511,0.05449,0.02572,0.88806,0.18706,0.43454,0.05523,0.55917,0.3111,2
0.90119,0.47083,9,0,0,0.03042,7e-05,0.01988,0.00025,0.04105,0.05186,0.04713,0.02416,0.89552,0.17059,0.45351,0.05007,0.54586,0.33685,2
0.083,0.4375,9,0,0,0.01331,0.00011,0.00745,1e-04,0.03925,0.04943,0.04639,0.02182,0.89179,0.17529,0.44972,0.0486,0.5754,0.32645,2
0.47431,0.20417,9,0,0,0.07795,0.00235,0.0646,0.00207,0.18642,0.1799,0.23343,0.14263,0.72948,0.40118,0.25047,0.23343,0.4223,0.21288,2
0.12648,0.575,9,0,0,0.01901,0.00025,0.01615,0.00011,0.03796,0.02998,0.05744,0.02494,0.76679,0.23412,0.48197,0.05744,0.57834,0.1777,2
0.31225,0.35,9,0,0,0.04183,0.00102,0.02112,4e-04,0.14924,0.15559,0.17673,0.1138,0.83022,0.29882,0.31309,0.17673,0.39044,0.24793,2
0.37549,0.30417,9,0,0,0.05133,0.00129,0.03602,0.00165,0.16628,0.1718,0.19882,0.12627,0.81903,0.32706,0.27894,0.19882,0.39879,0.24264,2
0.56917,0.37917,9,0,0,0.03042,0.00061,0.05839,0.00107,0.16086,0.16126,0.19735,0.12159,0.78545,0.34471,0.28463,0.19735,0.41776,0.2281,2
0.06719,0.52917,9,0,0,0.03042,0.00057,0.01863,0.00022,0.04002,0.05348,0.04345,0.02338,0.91418,0.15765,0.45541,0.0486,0.54387,0.36632,2
0.5415,0.50833,9,0,0,0.02281,0.00045,0.02609,0.00015,0.04493,0.05673,0.05228,0.02572,0.90112,0.17765,0.43643,0.05449,0.5582,0.33014,2
