"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","class"
0.156955,0.247884,0.413104,0.802526,0.384332,0.498491,0.456313,0.455112,0.507657,0.210404,0.260469,0.478109,0.232214,0.245267,0.6716,0.269121,0.422022,0.013145,0.674184,0.035984,0.769966,0.495664,0.593838,0.301322,0.343375,0.236701,0.617777,0.387244,0.485206,0.034394,0.11451,0.254846,0.20717,0.229769,0.744533,0.291133,0.250106,0.013705,0.322314,0.081232,0.182811,0.343408,0.52901,0.361133,0.486683,0.51727,0.248495,0.154386,0.299475,0.008304,"1"
0.468848,0.416709,0.146969,0.073448,0.035264,0.297183,0.127192,0.638324,0.095595,0.11541,0.137473,0.709554,0.151623,0.073125,0.208825,0.227912,0.046041,0.013218,0.498899,0.484756,0.087993,0.424895,0.605411,0.21149,0.785175,0.82403,0.106588,0.182154,0.236108,0.017676,0.114556,0.415415,0.180029,0.071722,0.19903,0.057876,0.27701,0.399342,0.801585,0.910764,0.610059,0.01986,0.189007,0.116867,0.506292,0.063494,0.154963,0.042026,0.086057,0.038303,"1"
0.324933,0.374643,0.279717,0.900361,0.441314,0.484788,0.682936,0.669059,0.639033,0.019885,0.285273,0.490595,0.224955,0.378693,0.457945,0.518766,0.16956,0.66649,0.4421,0.186026,0.632026,0.232276,0.468667,0.321694,0.339933,0.330602,0.204151,0.439293,0.625305,0.054794,0.329433,0.145417,0.294969,0.188549,0.47815,0.322325,0.491893,0.165477,0.312374,0.206419,0.429478,0.371821,0.381416,0.688317,0.244061,0.611397,0.31222,0.260001,0.430846,0.351547,"1"
0.525407,0.516119,0.424143,0.622295,0.491705,0.297229,0.463237,0.715843,0.303524,0.044002,0.432091,0.51073,0.132479,0.144664,0.19735,0.935911,0.381089,0.020514,0.285096,0.21711,0.198139,0.142337,0.283575,0.287696,0.40333,0.177332,0.716745,0.170151,0.461239,0.00496,0.415979,0.589278,0.384935,0.420497,0.227853,0.404346,0.114124,0.080126,0.36993,0.130263,0.093741,1,0.533139,0.115237,0.242854,0.051469,0.502741,0.020934,0,0.239108,"1"
0.422924,0.413938,0.278269,0.713591,0.52675,0.116665,0.196058,0.732918,0.639633,0.031563,0.002079,0.481949,0.311311,0.396053,0.573086,0.50378,0.395592,0.128197,0.491731,0.271872,0.243679,0.301133,0.492849,0.413184,0.513024,0.275435,0.465021,0.410578,0.260569,0.117291,0.368791,0.394224,0.479983,0.432362,0.451164,0.420382,0.154749,0.225879,0.471397,0.445624,0.434821,0.2511,0.549903,0.44676,0.350965,0.215734,0.252011,0.092541,0.254864,0.042529,"1"
0.46035,0.632794,0.131162,0.049434,0.486608,0.60001,0.220012,0.545845,0.457553,0.488466,0.520797,0.720684,0.428112,1,0.958693,0.212645,0.119356,0.003049,0.876158,0.252553,0.384592,0.34459,0.578677,0.186118,0.468699,0.203453,0.091276,0.125793,0.285517,0.002417,0.179664,0.470175,0.368355,0.251995,0.146828,0.171852,0.041893,0.423181,0.687697,0.445829,0.363329,0.455206,0.85188,0.718363,0.270531,0.391094,0.298069,0.63247,0.173798,0.018057,"1"
0.083785,0.079316,0.540394,0.952039,0.248618,0.513218,0.089046,0.565612,0.675145,0.270068,0.346098,1,0.257758,0.821675,0.850912,0.223901,0.100777,0.016028,0.86818,0.050664,1,0.224824,0.521337,0.382503,0.576957,0.345615,0.171983,0.050285,0.124657,0.099017,0.191215,0.368585,0.177236,0.081159,0.202906,0.036815,0.50285,0.452117,0.642122,0.157796,0.532358,0.100384,0.372325,0.714276,0.474316,0.381823,0.327575,0.465706,0.110699,0.011433,"1"
0.123431,0.176096,0.177332,0.985712,0.049875,0.380506,0.406084,0.595191,0.470764,0.507213,0.119395,0.483302,0.31179,0.885041,0.633046,0.489869,0.641405,0.175536,0.741455,0.930475,0.259541,0.386077,0.396791,0.325884,0.168493,0.361788,0.530014,0.042951,0.491416,0.339797,0.387692,0.596469,0.243378,0.062404,0.253534,0.148034,0.145722,0.336927,0.258915,0.212644,0.356199,0.132188,0.281052,0.34166,0.177205,0.292681,0.406913,0.54599,0.594666,0.325609,"1"
0.232231,0.262541,0.327878,0.177092,0.312578,0.306272,0.044546,0.647392,0.524639,0.010837,0.321793,0.474858,0.328866,0.044632,0.539996,0.197707,0.122999,0.000848,0.169737,0.820426,0.220429,0.52038,0.506889,0.195648,0.586101,0.287282,0.219692,0.200572,0,0.007798,0.158533,0.578026,0.336122,0.180669,0.752606,0.276118,0.737914,0.716866,0.321584,0.55101,0.135439,0.264149,0.266816,0.088951,0.407281,0.201397,0.132199,0.050638,0.265078,0.028719,"1"
0.244009,0.195419,0.599203,0.397949,0.330099,0.140002,0.231001,0.626509,0.641653,0.432432,0.315461,0.583692,0.141278,0.09747,0.377879,0.195521,0.041577,0.279181,0.408009,0.280876,0.263305,0.245712,0.749091,0.155782,0.232918,0.731898,0.321034,0.003405,0.275147,0.141101,0.138188,0.302025,0.214631,0.048254,0.690227,0.00573,0.456246,0.068011,0.359284,0.360828,0.293584,0.415986,0.501655,0.667652,0.066028,0.497062,0.09355,0.355303,0.224646,0.234651,"1"
0.142354,0.20041,0.233855,0.899049,0.540968,0.487963,0.166705,0.523808,0.498892,0.03219,0.027037,0.729947,0,0.824079,0.84626,0.3139,0.113433,0.145603,0.651512,0.075779,0.368219,0.207407,0.370823,0.632646,0.608684,0.433321,0.516196,0.110425,0.283833,0.004138,0.156279,0.501716,0.046933,0.116981,0.139953,0.295817,0.08709,0.383567,0.326971,0.172564,1,0.544596,0.224345,0.903157,0.462467,0.176015,0.274922,0.072243,0.589335,0.019585,"1"
0.059167,0.069538,0.624474,0.281937,0.031694,0.364613,0.264042,0.590579,0.205266,0.539129,0.046119,0.367332,0.150426,0.268841,0.324707,0.282711,0.14152,0.032245,0.306004,0.594385,0.563042,0.555314,0.190554,0.226142,0.407799,0.141985,0.875966,0.011387,0.230424,0.10782,0.186812,0.695451,0.289966,0.064746,0.412506,0.364134,0.202519,0.069498,0.520159,0.179646,0.078387,0.759015,0,0.363053,0.102711,0.554444,0.151534,0.117724,0.4339,0.084564,"1"
0.351482,0.405108,0.209872,0.503826,0.026049,0,0.186077,0.530584,0.460003,0.049352,0.544652,0.363648,0.134497,0.069061,0.569051,0.312935,0.068086,0.021882,0.710214,0.299201,0.39874,0.23519,0.486283,0.17491,0.197124,0.171546,0.261324,0.015878,0.328286,0.212056,0.627757,0.648907,0.215674,0,0.190915,0.144194,0.186653,0.330908,0.294789,0.091462,0.124003,0.539212,0.100995,0.446832,0.114435,0.513898,0.028607,0.418157,0.122077,0.047386,"1"
0.243963,0.311916,0.258551,0.761346,0.283146,0.689024,0.266529,0.727119,0.339053,0.083336,0.110567,0.593503,0.301911,0.204741,0.803734,0.804367,0.118422,0,0.810093,0.244885,0.373854,0.268657,0.500328,0.444336,0.33202,0.799356,0.484656,0.083841,0.343799,0.051077,0.241878,0.1759,0.374507,0.135977,0.51571,0.243411,0.229532,0.416419,0.343747,1,0.299474,0.194355,0.382307,0.324701,0.21565,0.102722,0.381091,0.122834,0.399575,0.036382,"1"
0.40812,0.610022,0.33696,0.68478,0.501961,0.211382,0.194247,0.579672,0.232036,0.082793,0.297073,0.493331,0.099216,0.456995,0.516372,0.345801,0.20051,0.117257,0.214489,0.113899,0.192801,0.169865,0.250689,0.363743,0.560168,0.256222,0.296406,0.268967,0.229667,0.057639,0.148736,0.699291,0.135127,0.244803,0.312515,0.224838,0.090177,0.434998,0.374403,0.476433,0.461656,0.216316,0.352345,0.434907,0.585634,0.028174,0.520253,0.088892,0.20298,0.050375,"1"
0.194996,0.430058,0.200103,0.451411,0.351016,0.495912,0.224086,0.591343,0.474038,0.129073,0.533941,0.530477,0.250582,0.375971,0.73675,0.182093,0.053638,0.015153,0.585718,0.154968,0.544323,0.259874,0.467792,0.340988,0.370896,0.308356,0.300209,0.00699,0.315839,0.374885,0.214184,0.729576,0.165711,0.042825,0.105569,0.187224,0.472434,0.285668,0.486702,0.239095,0.602068,0.264109,0.399582,0.503731,0.637023,0.293917,0.40796,0.161063,0.210487,0.061247,"1"
0.200521,0.301233,0.159558,0.751228,0.278715,0.17273,0.144869,0.661479,0.353988,0.182633,0.351604,0.39141,0.30693,0.12704,0.22887,0.605895,0.204102,0.00866,0.469608,0.457526,0.340564,0.367315,0.599332,0.246679,0.178599,0.177992,0.024621,0.197055,0.247624,0.019313,1,0.334844,0.352598,0.214018,0.201364,0.244204,0.148065,0.123313,0.24005,0.215342,0.226839,0.225586,0.242983,0.749647,0.239292,0.37206,0.232807,0.353556,0.213593,0.035777,"1"
0.328291,0.334476,0.731493,0.65639,0.139409,0.604548,0.408802,0.677025,0.56204,0.831234,0.267329,0.469722,0.103923,0.141553,0.337907,0.495894,0.491404,0.187741,0.489324,0.535878,0.38938,0.310595,0.469839,0.256823,0.226515,0.208359,0.205158,0.090247,0.47918,0.033965,0.379668,0.482683,0.077693,0.121936,0.211635,0.114553,0.01956,0.136395,0.514615,0.250763,0.324924,0.248865,0.135717,0.516462,0.204745,0.138746,0.165915,0.797755,0.25194,0.103177,"1"
0.37446,0.444145,0.341595,0.13269,0.375166,0.469296,0.024063,0.543656,0.295441,0.02343,0.25006,0.462541,0.215867,0.183222,0.219111,0.242833,0.133835,0.005411,1,0.294611,0.1664,0.536663,0.413488,0.647998,0.572417,0.320744,0.049187,0.349938,0.166998,0.027749,0.099364,0.438059,0.176067,0.176592,0.249961,0.339687,0.262841,1,0.525037,0.826481,0.170693,0.142708,0.611805,0.147801,0.327534,0.078864,0.539745,0.029666,0.415411,0.012801,"1"
0.169638,0.207988,0.446547,0.56703,0.245544,0.17211,0.193054,0.467377,0.574412,0.211594,0.420463,0.467264,0.237984,0.15706,0.879191,0.279466,0.366501,0.024029,0.565805,0.092892,0.414198,0.496678,0.518901,0.636451,0.353394,0.635938,0.3505,0.101799,0.269203,0.206029,0.150557,0.648428,0.185294,0.094354,0.185403,0.180271,0.262903,0.127994,0.218374,0.2136,0.428145,0.420467,0.3472,0.722505,0.436491,0.480161,0.301018,0.284143,0.698664,0.027661,"1"
