"V1","V2","V3","V4","V5","V6","V7","class"
0.440982,0.502066,0.57078,0.486486,0.486101,0.189302,0.34515,0
0.405099,0.446281,0.662432,0.368806,0.501069,0.032883,0.215165,0
0.349386,0.347107,0.87931,0.220721,0.50392,0.251453,0.150665,0
0.306893,0.316116,0.793103,0.239302,0.533856,0.194243,0.140817,0
0.524079,0.533058,0.864791,0.427365,0.664291,0.076701,0.322994,0
0.357885,0.371901,0.789474,0.274212,0.486101,0.220637,0.215165,0
0.387158,0.429752,0.651543,0.373874,0.448325,0.366784,0.344658,0
0.332389,0.349174,0.753176,0.293356,0.478974,0.251583,0.236829,0
0.570349,0.630165,0.604356,0.649775,0.595153,0.165767,0.668636,0
0.552408,0.586777,0.725045,0.554617,0.623664,0.156536,0.499261,0
0.440982,0.504132,0.558076,0.458896,0.436208,0.491217,0.391433,0
0.324835,0.36157,0.64882,0.303491,0.406985,0.12377,0.237322,0
0.311615,0.332645,0.725045,0.304054,0.40556,0.418794,0.107829,0
0.301228,0.340909,0.615245,0.326577,0.374911,0.308273,0.173806,0
0.29745,0.338843,0.601633,0.328266,0.344975,0.281749,0.150665,0
0.377715,0.386364,0.827586,0.254505,0.501069,0.444668,0.129,0
0.321058,0.293388,1,0.123874,0.536707,0.581063,0.129,0
0.481586,0.483471,0.88657,0.353604,0.630078,0.108427,0.259478,0
0.388102,0.371901,0.972777,0.172297,0.595866,0.130271,0.064008,0
0.201133,0.239669,0.549002,0.184122,0.298646,0.433876,0.194485,0
0.33711,0.411157,0.456443,0.427365,0.355666,0.299952,0.323486,0
0.332389,0.382231,0.58167,0.349662,0.383464,0.250023,0.344658,0
0.499528,0.514463,0.823049,0.404842,0.625089,0,0.281635,0
0.140699,0.169421,0.529038,0.112613,0.218104,0.084502,0.217627,0
0.417375,0.485537,0.522686,0.501126,0.438346,0.133391,0.237322,0
0.528801,0.568182,0.696915,0.525901,0.563792,0.01793,0.387986,0
0.229462,0.278926,0.508167,0.279279,0.282252,0.339089,0.150665,0
0.203022,0.260331,0.438294,0.279279,0.232359,0.226098,0.172329,0
0.332389,0.365702,0.670599,0.361486,0.42124,0.258604,0.255539,0
0.270066,0.332645,0.474592,0.34741,0.31005,0.359633,0.284589,0
0.242682,0.291322,0.527223,0.3125,0.245902,0.011702,0.264402,0
0.462701,0.522727,0.583485,0.483108,0.528154,0.34416,0.349089,0
0.3305,0.413223,0.406534,0.460586,0.396294,0.410212,0.384047,0
0.316336,0.363636,0.587114,0.386261,0.370634,0.176689,0.242738,0
0.421152,0.469008,0.633394,0.45777,0.497505,0.177339,0.414082,0
0.522191,0.535124,0.833938,0.456081,0.609408,0.195673,0.454948,0
0.529745,0.590909,0.592559,0.521959,0.59444,0.267576,0.496307,0
0.612842,0.613636,0.905626,0.525338,0.750535,0.284869,0.475135,0
0.397545,0.43595,0.673321,0.426239,0.468995,0.305153,0.388971,0
0.348442,0.363636,0.783122,0.280405,0.476123,0.769728,0.237322,0
0.278565,0.297521,0.716878,0.252815,0.374911,0.23689,0.324471,0
0.274788,0.297521,0.699637,0.254505,0.376336,0.192942,0.323486,0
0.242682,0.235537,0.842105,0.134572,0.406985,0.220507,0.129985,0
0.463645,0.506198,0.670599,0.550676,0.545973,0.513061,0.4968,0
0.426818,0.440083,0.821234,0.382883,0.593015,0.307233,0.325455,0
0.303116,0.336777,0.647005,0.268581,0.374198,0.103356,0.217627,0
0.450425,0.485537,0.707804,0.451577,0.543835,0.078261,0.301822,0
0.415486,0.444215,0.727768,0.377815,0.532431,0.285129,0.322994,0
0.396601,0.43595,0.669691,0.363739,0.471133,0.252103,0.291482,0
0.403211,0.466942,0.539927,0.438626,0.447612,0.177339,0.40965,0
0.362606,0.411157,0.607985,0.386261,0.457591,0.417363,0.30773,0
0.490085,0.516529,0.764065,0.436374,0.573058,0.627742,0.303791,0
0.368272,0.454545,0.414701,0.459459,0.344262,0.435697,0.431807,0
0.353163,0.386364,0.680581,0.340653,0.40556,0.333238,0.34712,0
0.371105,0.452479,0.431942,0.474099,0.344262,0.093084,0.476613,0
0.419263,0.487603,0.523593,0.45214,0.414825,0.151855,0.452979,0
0.365439,0.400826,0.668784,0.275338,0.532431,0.264845,0.258493,0
0.408876,0.417355,0.839383,0.273086,0.557377,0.049006,0.280158,0
0.452314,0.487603,0.704174,0.429617,0.562366,0.160436,0.346135,0
0.143532,0.219008,0.282214,0.146396,0.286529,0.095815,0,0
0.078376,0.092975,0.546279,0.061374,0.156807,0.251583,0.043328,0
0.060434,0.045455,0.688748,0.001689,0.177477,0.195543,0.090596,0
0.167139,0.161157,0.764065,0.099662,0.293656,0.319195,0.042344,0
0.248347,0.295455,0.543557,0.279279,0.313614,0.441028,0.280158,0
0.206799,0.239669,0.576225,0.204392,0.282252,0.053427,0.129493,0
0.216242,0.225207,0.724138,0.135135,0.348539,0.206335,0.043328,0
0.354108,0.404959,0.585299,0.411599,0.399145,0.07124,0.310684,0
0.322946,0.38843,0.493648,0.399775,0.376336,0.188782,0.301822,0
0.356941,0.409091,0.585299,0.377252,0.372773,0.090874,0.38454,0
0.202077,0.27686,0.342105,0.288851,0.179615,0.359893,0.269818,0
0.664778,0.737603,0.537205,0.727477,0.663578,0.430496,0.75874,1
0.590179,0.673554,0.491833,0.618806,0.608696,0.50838,0.668636,1
