"V1","V2","V3","V4","V5","class"
0.656711,0.050984,0.04457,0.218476,0.13211,1
0.680591,0.049425,0.041939,0.177275,0.106749,1
0.734892,0.047396,0.042926,0.259034,0.143741,1
0.698087,0.035317,0.027066,0.127065,0.095697,1
0.738927,0.046076,0.040228,0.295501,0.112481,1
0.645718,0.062909,0.05717,0.345769,0.185759,1
0.738953,0.038857,0.028863,0.147396,0.083416,1
0.661113,0.062822,0.06194,0.336947,0.145734,1
0.715442,0.06674,0.060887,0.315947,0.076345,1
0.733834,0.053705,0.04296,0.336469,0.178506,1
0.715648,0.051667,0.041547,0.262468,0.146341,1
0.742553,0.048616,0.039392,0.237022,0.105768,1
0.669091,0.065456,0.059337,0.256287,0.156681,1
0.620119,0.055377,0.0513,0.26102,0.186813,1
0.73054,0.04297,0.042056,0.220417,0.111746,1
0.715357,0.0557,0.048488,0.298768,0.124177,1
0.697484,0.048593,0.042701,0.189056,0.152893,1
0.663523,0.047661,0.045651,0.166549,0.095964,1
0.579667,0.060368,0.057915,0.195036,0.120781,1
0.806253,0.059422,0.047372,0.259901,0.14911,1
0.741068,0.043323,0.041785,0.162774,0.081821,1
0.736349,0.063211,0.058867,0.231302,0.112493,1
0.70128,0.041447,0.027677,0.139073,0.108189,1
0.783106,0.030694,0.018054,0.207501,0.069212,1
0.769906,0.02738,0.011283,0.103254,0.043151,1
0.763995,0.041974,0.02504,0.31427,0.152309,1
0.723411,0.060739,0.053419,0.326122,0.126719,1
0.664323,0.032794,0.027259,0.086891,0.089806,1
0.740268,0.047664,0.035382,0.242802,0.103413,1
0.651771,0.036687,0.027569,0.093507,0.078547,1
0.679786,0.035922,0.024938,0.080474,0.130042,1
0.690349,0.035553,0.022365,0.180879,0.070798,1
0.736706,0.04254,0.034956,0.121888,0.09156,1
0.777853,0.038232,0.025379,0.101774,0.072192,1
0.67989,0.036736,0.027756,0.103326,0.06264,1
0.713928,0.033564,0.021259,0.169296,0.135275,1
0.730321,0.028409,0.018239,0.111111,0.090571,1
0.653174,0.066191,0.066668,0.333932,0.162202,1
0.67262,0.058353,0.051231,0.340024,0.191012,1
0.641851,0.056796,0.052219,0.276388,0.141809,1
0.755739,0.048989,0.044014,0.237899,0.128331,1
0.646975,0.046981,0.043062,0.226786,0.213541,1
0.731466,0.038259,0.029153,0.099403,0.115034,1
0.641913,0.068877,0.067927,0.301186,0.11828,1
0.738124,0.067818,0.064286,0.331274,0.140995,1
0.67275,0.052286,0.045393,0.231387,0.116827,1
0.698905,0.047346,0.043925,0.209708,0.136771,1
0.652743,0.048184,0.044198,0.149598,0.139748,1
0.652039,0.061807,0.052466,0.334743,0.17514,1
0.72173,0.055609,0.048984,0.276094,0.170387,1
0.675204,0.060523,0.054465,0.280333,0.13793,1
0.676541,0.060323,0.068435,0.269331,0.156153,1
0.70935,0.039071,0.034059,0.154403,0.138857,1
0.669997,0.049161,0.053048,0.156063,0.101179,1
0.722413,0.048562,0.048464,0.190164,0.148364,1
0.697328,0.049374,0.04543,0.217962,0.174169,1
0.666513,0.045007,0.050677,0.157181,0.184962,1
0.689826,0.051517,0.050531,0.209528,0.149312,1
0.700392,0.054365,0.058337,0.214982,0.158727,1
0.691504,0.049766,0.051376,0.201424,0.131851,1
0.701551,0.048311,0.044523,0.231698,0.153561,1
0.74399,0.053759,0.04394,0.248915,0.138073,1
0.703689,0.049324,0.044158,0.2257,0.136117,1
0.718021,0.053329,0.043172,0.317381,0.232844,1
0.669274,0.058357,0.055704,0.272786,0.170276,1
0.72269,0.047153,0.04095,0.156576,0.119212,1
0.704971,0.041276,0.038907,0.159658,0.121434,1
0.679777,0.046263,0.045378,0.206743,0.119327,1
0.705801,0.052002,0.047517,0.250342,0.170217,1
0.772443,0.047372,0.049711,0.183791,0.097243,1
0.694118,0.042215,0.038551,0.19651,0.125657,1
0.644488,0.058141,0.054181,0.236036,0.117412,1
0.756293,0.055663,0.04892,0.221401,0.116958,1
0.732762,0.053929,0.048635,0.231455,0.134396,1
0.7795,0.064369,0.034853,0.389496,0.207015,0
0.782935,0.054512,0.029249,0.348052,0.188681,0
0.740529,0.070281,0.03692,0.433384,0.133163,0
0.615582,0.069128,0.037216,0.409933,0.144853,0
0.606759,0.066922,0.035619,0.425775,0.151262,0
0.681767,0.063224,0.032374,0.397089,0.178081,0
0.632088,0.068535,0.036611,0.443936,0.125243,0
0.68185,0.058257,0.030343,0.337137,0.260568,0
0.713176,0.030211,0.01219,0.066973,0.056711,0
0.619077,0.073366,0.036902,0.429577,0.220917,0
0.709938,0.065265,0.034724,0.399016,0.10238,0
0.65699,0.05723,0.035179,0.35134,0.187874,0
0.694142,0.059027,0.032378,0.332503,0.110374,0
0.703538,0.045498,0.027475,0.231991,0.174661,0
0.727621,0.028174,0.021646,0.106233,0.090102,0
0.695084,0.048001,0.031469,0.264534,0.166275,0
0.752519,0.065902,0.031598,0.36759,0.258714,0
0.573436,0.051735,0.030065,0.316183,0.136117,0
0.722314,0.049964,0.029288,0.294782,0.342453,0
0.58695,0.055493,0.02603,0.283058,0.289749,0
0.697102,0.040301,0.020582,0.148026,0.098678,0
0.676657,0.03102,0.011978,0.08693,0.085217,0
0.721838,0.049776,0.025532,0.27065,0.23605,0
0.837738,0.050118,0.023589,0.241919,0.01086,0
0.686046,0.030024,0.0122,0.079368,0.047362,0
0.76853,0.033805,0.019001,0.13668,0.038436,0
0.723435,0.027414,0.011725,0.060495,0.051906,0
0.754253,0.046797,0.023625,0.237544,0.174202,0
0.743396,0.043007,0.023703,0.235145,0.130286,0
0.709354,0.047336,0.028947,0.287349,0.077865,0
0.65949,0.063046,0.033116,0.437048,0.106593,0
0.787531,0.033025,0.017533,0.142703,0.064324,0
0.580222,0.066171,0.039651,0.423541,0.183167,0
0.771223,0.061924,0.036614,0.385328,0.192091,0
0.699347,0.051562,0.028406,0.245146,0.148391,0
0.695539,0.051745,0.027857,0.290523,0.120088,0
0.713475,0.057625,0.030324,0.371914,0.157671,0
0.675762,0.055473,0.032376,0.369844,0.219275,0
0.669319,0.038184,0.019487,0.201397,0.128324,0
0.650087,0.047808,0.027814,0.266157,0.19037,0
0.606449,0.0438,0.024465,0.269602,0.21383,0
0.5982,0.051594,0.030497,0.249568,0.129446,0
0.697936,0.058706,0.030768,0.392548,0.126545,0
0.737577,0.034526,0.018084,0.211765,0.104224,0
0.754217,0.056134,0.030352,0.426463,0.167037,0
0.746173,0.045322,0.025222,0.281143,0.101165,0
0.511168,0.059852,0.031823,0.390844,0.055777,0
0.580287,0.058566,0.031673,0.419035,0.127304,0
0.759674,0.05416,0.031864,0.332377,0.119274,0
1,0.050118,0.029742,0.257474,0.006389,0
0.62189,0.041296,0.020404,0.244567,0.106229,0
0.536987,0.053748,0.030435,0.358411,0.113603,0
0.814663,0.051658,0.028662,0.344953,0.174901,0
0.685117,0.060921,0.03294,0.455798,0.138285,0
0.608053,0.051611,0.028346,0.360922,0.161019,0
0.595851,0.059357,0.028824,0.444071,0.126055,0
0.761113,0.048509,0.024283,0.31884,0.14263,0
0.713973,0.048835,0.02428,0.255054,0.103627,0
0.772454,0.055315,0.026035,0.420482,0.258594,0
0.579926,0.046364,0.023265,0.301158,0.176211,0
0.729001,0.035393,0.01505,0.172613,0.120355,0
0.765992,0.050118,0.029418,0.328627,0.139669,0
0.734527,0.057584,0.031176,0.415806,0.080594,0
0.778486,0.053743,0.028086,0.358632,0.163943,0
0.761993,0.054475,0.026415,0.392709,0.086989,0
0.767945,0.05571,0.028906,0.443377,0.068543,0
0.756488,0.049656,0.024236,0.367148,0.254636,0
0.781537,0.040136,0.020906,0.252226,0.173168,0
0.712521,0.043639,0.022552,0.300496,0.153854,0
0.641646,0.059909,0.03404,0.388317,0.06549,0
0.61469,0.054969,0.028511,0.454782,0.155512,0
0.665986,0.05548,0.028863,0.311418,0.144906,0
0.680658,0.064928,0.03799,0.476344,0.041497,0
0.66667,0.048001,0.025532,0.360397,0.141941,0
0.744992,0.048142,0.022362,0.241083,0.103007,0
0.672695,0.051097,0.026292,0.261172,0.113758,0
0.547578,0.065247,0.035765,0.486553,0.108997,0
0.618046,0.044921,0.021997,0.252124,0.174277,0
0.696613,0.060197,0.03401,0.451376,0.185229,0
0.506121,0.051504,0.030713,0.417452,0.167593,0
0.649595,0.06382,0.036224,0.435437,0.12242,0
0.517647,0.061234,0.033466,0.441478,0.084085,0
0.607263,0.047635,0.024819,0.348218,0.149109,0
0.872251,0.045715,0.023993,0.253172,0.110749,0
0.884433,0.059935,0.031361,0.347821,0.075124,0
